layout_max_items,layout_min_item_size_width,layout_min_item_size_height,layout_item_step,layout_item_rotation_increment,layout_resize_type,layout_scale,layout_margin,layout_name,layout_total_threads,layout_latency,layout_canvas_name,layout_canvas_mode,layout_canvas_background_color,layout_canvas_size_width,layout_canvas_size_height,layout_canvas_reservation_map_csv_filepath,layout_contour_mask_image_filepath,layout_contour_width,layout_contour_color,layout_item_filepath,layout_item_position_x,layout_item_position_y,layout_item_size_width,layout_item_size_height,layout_item_rotated_degrees,layout_item_reserved_position_x,layout_item_reserved_position_y,layout_item_reserved_size_width,layout_item_reserved_size_height,layout_item_reservation_no,layout_item_latency
200,50,50,1,90,MAINTAIN_ASPECT_RATIO,1.0,1,imagecloud-import.layout.maximized,64,000H_00M_00S_263MS,imagecloud-import.maximized,RGBA,,2814,705,./image-cloud/imagecloud-import.maximized.reservation_map.csv,,0.0,black,./image-cloud/park_seven.png,1451,-1,644,479,0,1452,0,642,477,1,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_two.png,479,207,644,498,0,480,208,642,496,2,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_ten.png,2101,184,644,521,0,2102,185,642,519,3,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_eleven.png,-1,-1,482,706,90,0,0,480,704,4,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_one.png,1121,-1,332,516,90,1122,0,330,514,5,000H_00M_00S_072MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_eight.png,479,-1,454,210,0,480,0,452,208,6,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_three.png,2440,-1,374,187,0,2441,0,372,185,7,000H_00M_00S_006MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_five.png,2093,-1,349,187,0,2094,0,347,185,8,000H_00M_00S_017MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_six.png,1734,476,369,229,0,1735,477,367,227,9,000H_00M_00S_006MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_nine.png,1451,476,285,229,0,1452,477,283,227,10,000H_00M_00S_009MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_thirteen.png,1121,513,332,192,0,1122,514,330,190,11,000H_00M_00S_002MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_four.png,931,-1,192,210,90,932,0,190,208,12,000H_00M_00S_005MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_twelve.png,2745,395,68,137,90,2744,394,70,139,13,000H_00M_33S_250MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_fourteen.png,2743,532,72,173,90,2744,533,70,171,14,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./image-cloud/park_fifteen.png,2743,184,72,211,0,2744,185,70,209,15,000H_00M_00S_000MS
