layout_max_items,layout_min_item_size_width,layout_min_item_size_height,layout_item_step,layout_item_rotation_increment,layout_resize_type,layout_scale,layout_margin,layout_name,layout_total_threads,layout_latency,layout_canvas_name,layout_canvas_mode,layout_canvas_background_color,layout_canvas_size_width,layout_canvas_size_height,layout_canvas_reservation_map_csv_filepath,layout_contour_mask_image_filepath,layout_contour_width,layout_contour_color,layout_item_filepath,layout_item_position_x,layout_item_position_y,layout_item_size_width,layout_item_size_height,layout_item_rotated_degrees,layout_item_reserved_position_x,layout_item_reserved_position_y,layout_item_reserved_size_width,layout_item_reserved_size_height,layout_item_reservation_no,layout_item_latency
200,50,50,1,90,MAINTAIN_ASPECT_RATIO,1.0,1,textimagecloud-import.layout.maximized,64,000H_00M_00S_524MS,textimagecloud-import.maximized,RGBA,,2814,705,./textimage-cloud/textimagecloud-import.maximized.reservation_map.csv,,0.0,black,./textimage-cloud/park_seven.csv,1632,184,676,521,0,1633,185,674,519,1,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_two.csv,-1,-1,726,501,0,0,0,724,499,2,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_ten.csv,978,-1,644,443,0,979,0,642,441,3,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_eleven.csv,2306,-1,508,706,90,2307,0,506,704,4,000H_00M_00S_006MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_one.csv,723,259,257,446,90,724,260,255,444,5,000H_00M_00S_000MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_eight.csv,1222,440,412,265,0,1223,441,410,263,6,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_three.csv,1813,1,343,183,0,1812,0,345,185,7,000H_02M_37S_291MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_five.csv,310,498,295,207,0,311,499,293,205,8,000H_00M_00S_016MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_six.csv,-1,498,313,207,0,0,499,311,205,9,000H_00M_00S_017MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_nine.csv,822,-1,158,262,90,823,0,156,260,10,000H_00M_00S_003MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_thirteen.csv,978,440,246,265,0,979,441,244,263,11,000H_00M_00S_001MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_four.csv,723,-1,101,262,90,724,0,99,260,12,000H_00M_00S_247MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_twelve.csv,1620,-1,193,187,0,1621,0,191,185,13,000H_00M_00S_086MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_fourteen.csv,603,498,122,207,90,604,499,120,205,14,000H_00M_00S_002MS
,,,,,,,,,,,,,,,,,,,,./textimage-cloud/park_fifteen.csv,2156,-1,152,187,0,2157,0,150,185,15,000H_00M_00S_002MS
